"$match_per []","$muscle_per []","circ_rad [cm]","circ_wid [cm]","match_wid [cm]","Freq [GHz]","dB(St11) []"
14,20,0.7,0.1,0.5,2.4,-7.76557897434602
14,20,0.7,0.1,1,2.4,-5.35046519613288
14,20,0.8,0.1,0.5,2.4,-10.30101226235
14,20,0.8,0.1,1,2.4,-12.3506597780411
14,20,0.9,0.2,0.5,2.4,-8.92444365854232
14,20,0.9,0.2,1,2.4,-11.7339748332303
14,20,1,0.2,0.5,2.4,-6.77733922546122
14,20,1,0.2,1,2.4,-10.0386661174457
14,20,1.1,0.2,0.5,2.4,-5.5559201346298
14,20,1.1,0.2,1,2.4,-7.65226367464534
16,30,0.6,0.1,0.5,2.4,-4.70608158820159
16,30,0.6,0.1,1,2.4,-3.40197774892864
16,30,0.7,0.1,0.5,2.4,-11.9160283213103
16,30,0.7,0.1,1,2.4,-9.06834934223318
16,30,0.8,0.1,0.5,2.4,-9.38058283340277
16,30,0.8,0.1,1,2.4,-13.8519566454979
16,30,0.9,0.2,0.5,2.4,-8.12003360840763
16,30,0.9,0.2,1,2.4,-11.543413818034
16,30,1,0.2,0.5,2.4,-6.11739861506029
16,30,1,0.2,1,2.4,-8.68640599411947
16,30,1.1,0.2,0.5,2.4,-5.52532665728657
16,30,1.1,0.2,1,2.4,-6.9477023915914
17,40,0.6,0.1,0.5,2.4,-6.107891554945
17,40,0.6,0.1,1,2.4,-4.27341162518322
17,40,0.7,0.1,0.5,2.4,-13.7342171680242
17,40,0.7,0.1,1,2.4,-10.6744257033522
17,40,0.8,0.1,0.5,2.4,-8.0579430036812
17,40,0.8,0.1,1,2.4,-12.6485915915262
17,40,0.9,0.2,0.5,2.4,-7.36890227185662
17,40,0.9,0.2,1,2.4,-10.7560777309637
17,40,1,0.2,0.5,2.4,-5.67482485208827
17,40,1,0.2,1,2.4,-8.19779254612981
17,40,1.1,0.2,0.5,2.4,-5.70991072366207
17,40,1.1,0.2,1,2.4,-6.95805337192994
17,50,0.6,0.1,0.5,2.4,-6.60400875419262
17,50,0.6,0.1,1,2.4,-4.11610447123976
17,50,0.7,0.1,0.5,2.4,-14.7393197518239
17,50,0.7,0.1,1,2.4,-10.2033199539699
17,50,0.8,0.1,0.5,2.4,-7.54578017365479
17,50,0.8,0.1,1,2.4,-12.3002217241887
17,50,0.9,0.2,0.5,2.4,-6.96274266094226
17,50,0.9,0.2,1,2.4,-10.2627687068918
17,50,1,0.2,0.5,2.4,-5.39541325003458
17,50,1,0.2,1,2.4,-8.11387251909546
17,50,1.1,0.2,0.5,2.4,-5.50649643761209
17,50,1.1,0.2,1,2.4,-7.08850841359112
23,30,0.6,0.1,0.5,2.4,-11.8820393590728
23,30,0.6,0.1,1,2.4,-11.1662350181376
23,30,0.7,0.1,0.5,2.4,-11.8996328400016
23,30,0.7,0.1,1,2.4,-14.6393027986728
23,30,0.8,0.1,0.5,2.4,-6.93843439576752
23,30,0.8,0.1,1,2.4,-7.51117205162813
23,30,0.9,0.2,0.5,2.4,-7.33962530516815
23,30,0.9,0.2,1,2.4,-8.10027509577762
23,30,1,0.2,0.5,2.4,-7.03561087951035
23,30,1,0.2,1,2.4,-6.63079930377768
23,30,1.1,0.2,0.5,2.4,-8.95932073605815
23,30,1.1,0.2,1,2.4,-7.76758164784336
24,40,0.6,0.1,0.5,2.4,-14.4535321605086
24,40,0.6,0.1,1,2.4,-12.1966545827068
24,40,0.7,0.1,0.5,2.4,-10.434068524087
24,40,0.7,0.1,1,2.4,-13.4737756784978
24,40,0.8,0.1,0.5,2.4,-6.33729425731865
24,40,0.8,0.1,1,2.4,-7.24207220842788
24,40,0.9,0.2,0.5,2.4,-6.96997380627694
24,40,0.9,0.2,1,2.4,-7.78518591378522
24,40,1,0.2,0.5,2.4,-7.35551169433632
24,40,1,0.2,1,2.4,-7.00261260786436
24,40,1.1,0.2,0.5,2.4,-9.99443521674554
24,40,1.1,0.2,1,2.4,-8.76567573614954
