"torus_rad [cm]","wire_wid [cm]","Freq [GHz]","dB(St11) []"
0.7,0.1,2.31,-14.1743302742582
0.7,0.1,2.32,-14.2311170308723
0.7,0.1,2.33,-14.2739613032949
0.7,0.1,2.34,-14.3031019343552
0.7,0.1,2.35,-14.3189063596977
0.7,0.1,2.36,-14.3218516939668
0.7,0.1,2.37,-14.3125046542585
0.7,0.1,2.38,-14.2915013602485
0.7,0.1,2.39,-14.2595278761372
0.7,0.1,2.4,-14.2173021599731
0.7,0.1,2.41,-14.1655578831853
0.7,0.1,2.42,-14.1050303944542
0.7,0.1,2.43,-14.0364449389301
0.7,0.1,2.44,-13.9605071123793
0.7,0.1,2.45,-13.8778954316596
0.7,0.1,2.46,-13.7892558361799
0.7,0.1,2.47,-13.6951978956792
0.7,0.1,2.48,-13.5962924827107
0.7,0.1,2.49,-13.4930706682933
0.7,0.1,2.5,-13.3860236113382
0.7,0.1,2.51,-13.2756032323416
0.7,0.1,2.52,-13.1622234859802
0.7,0.1,2.53,-13.0462620730002
0.7,0.1,2.54,-12.9280624572548
0.7,0.1,2.55,-12.807936077667
0.7,0.1,2.56,-12.6861646665358
0.7,0.1,2.57,-12.5630026045968
0.7,0.1,2.58,-12.4386792595151
0.7,0.1,2.59,-12.3134012681135
0.7,0.1,2.6,-12.1873547338392
0.7,0.1,2.61,-12.0607073199979
0.7,0.1,2.62,-11.9336102264355
0.7,0.1,2.63,-11.8062000428935
0.7,0.1,2.64,-11.6786004764813
0.7,0.1,2.65,-11.5509239538275
0.7,0.1,2.66,-11.4232731007089
0.7,0.1,2.67,-11.2957421034861
0.7,0.1,2.68,-11.1684179576496
0.7,0.1,2.69,-11.0413816093288
0.7,0.1,2.7,-10.9147089958385
0.7,0.1,2.71,-10.7884719913149
0.7,0.1,2.72,-10.6627392632936
0.7,0.1,2.73,-10.5375770457662
0.7,0.1,2.74,-10.4130498338407
0.7,0.1,2.75,-10.2892210046847
0.7,0.1,2.76,-10.1661533689519
0.7,0.1,2.77,-10.0439096564096
0.7,0.1,2.78,-9.92255293902218
0.7,0.1,2.79,-9.80214699429433
0.7,0.1,2.8,-9.68275661127337
0.7,0.1,2.81,-9.56444784123528
0.7,0.1,2.82,-9.44728819476061
0.7,0.1,2.83,-9.33134678663537
0.7,0.1,2.84,-9.21669442980152
0.7,0.1,2.85,-9.1034036794293
0.7,0.1,2.86,-8.9915488280971
0.7,0.1,2.87,-8.88120585304201
0.7,0.1,2.88,-8.77245231648973
0.7,0.1,2.89,-8.66536722018461
0.7,0.1,2.9,-8.56003081541975
0.7,0.1,2.91,-8.45652437010995
0.7,0.1,2.92,-8.35492989475444
0.7,0.1,2.93,-8.25532982949485
0.7,0.1,2.94,-8.15780669488167
0.7,0.1,2.95,-8.06244270940746
0.7,0.1,2.96,-7.96931937733974
0.7,0.1,2.97,-7.87851705087395
0.7,0.1,2.98,-7.79011447111591
0.7,0.1,2.99,-7.70418829287485
0.7,0.1,3,-7.620812598687
0.8,0.1,1,-0.486335208927602
0.8,0.1,1.01,-0.508273983975097
0.8,0.1,1.02,-0.53126059782128
0.8,0.1,1.03,-0.555333952671521
0.8,0.1,1.04,-0.580535081547671
0.8,0.1,1.05,-0.606907213400211
0.8,0.1,1.06,-0.634495838741481
0.8,0.1,1.07,-0.663348775420512
0.8,0.1,1.08,-0.693516234111575
0.8,0.1,1.09,-0.725050883036672
0.8,0.1,1.1,-0.758007911386215
0.8,0.1,1.11,-0.792445090842701
0.8,0.1,1.12,-0.828422834549045
0.8,0.1,1.13,-0.866004252796844
0.8,0.1,1.14,-0.905255204640587
0.8,0.1,1.15,-0.946244344571821
0.8,0.1,1.16,-0.989043163313695
0.8,0.1,1.17,-1.03372602172118
0.8,0.1,1.18,-1.08037017669691
0.8,0.1,1.19,-1.1290557979579
0.8,0.1,1.2,-1.17986597441532
0.8,0.1,1.21,-1.23288670885955
0.8,0.1,1.22,-1.28820689957723
0.8,0.1,1.23,-1.34591830746742
0.8,0.1,1.24,-1.40611550717211
0.8,0.1,1.25,-1.46889582069339
0.8,0.1,1.26,-1.53435923193797
0.8,0.1,1.27,-1.60260828061018
0.8,0.1,1.28,-1.67374793386926
0.8,0.1,1.29,-1.74788543417643
0.8,0.1,1.3,-1.82513012178259
0.8,0.1,1.31,-1.90559323034992
0.8,0.1,1.32,-1.98938765425803
0.8,0.1,1.33,-2.07662768621876
0.8,0.1,1.34,-2.16742872390969
0.8,0.1,1.35,-2.26190694443244
0.8,0.1,1.36,-2.36017894550428
0.8,0.1,1.37,-2.46236135239331
0.8,0.1,1.38,-2.56857038970375
0.8,0.1,1.39,-2.67892141719756
0.8,0.1,1.4,-2.7935284288939
0.8,0.1,1.41,-2.91250351470553
0.8,0.1,1.42,-3.03595628383931
0.8,0.1,1.43,-3.16399324909109
0.8,0.1,1.44,-3.2967171709894
0.8,0.1,1.45,-3.43422636047095
0.8,0.1,1.46,-3.5766139383886
0.8,0.1,1.47,-3.72396704964372
0.8,0.1,1.48,-3.87636602908641
0.8,0.1,1.49,-4.03388351552751
0.8,0.1,1.5,-4.19658350924713
0.8,0.1,1.51,-4.36452036726398
0.8,0.1,1.52,-4.53773772935099
0.8,0.1,1.53,-4.7162673663582
0.8,0.1,1.54,-4.90012794085756
0.8,0.1,1.55,-5.08932366849333
0.8,0.1,1.56,-5.28384286676269
0.8,0.1,1.57,-5.48365637634072
0.8,0.1,1.58,-5.68871583860912
0.8,0.1,1.59,-5.89895181188854
0.8,0.1,1.6,-6.11427170819365
0.8,0.1,1.61,-6.33455753236146
0.8,0.1,1.62,-6.55966340644292
0.8,0.1,1.63,-6.78941286466223
0.8,0.1,1.64,-7.02359590848547
0.8,0.1,1.65,-7.26196581793468
0.8,0.1,1.66,-7.50423572486131
0.8,0.1,1.67,-7.75007496715537
0.8,0.1,1.68,-7.99910526057442
0.8,0.1,1.69,-8.25089674779147
0.8,0.1,1.7,-8.50496401307037
0.8,0.1,1.71,-8.76076218615794
0.8,0.1,1.72,-9.01768330061972
0.8,0.1,1.73,-9.27505311938202
0.8,0.1,1.74,-9.53212869215695
0.8,0.1,1.75,-9.78809696287971
0.8,0.1,1.76,-10.0420747957396
0.8,0.1,1.77,-10.2931108293047
0.8,0.1,1.78,-10.5401895909776
0.8,0.1,1.79,-10.7822382980536
0.8,0.1,1.8,-11.018136725365
0.8,0.1,1.81,-11.2467304216651
0.8,0.1,1.82,-11.4668473989735
0.8,0.1,1.83,-11.6773181981746
0.8,0.1,1.84,-11.8769989561803
0.8,0.1,1.85,-12.064796782525
0.8,0.1,1.86,-12.2396964267681
0.8,0.1,1.87,-12.4007869243503
0.8,0.1,1.88,-12.5472866959414
0.8,0.1,1.89,-12.6785654905504
0.8,0.1,1.9,-12.7941616405102
0.8,0.1,1.91,-12.8937933497876
0.8,0.1,1.92,-12.9773631503687
0.8,0.1,1.93,-13.0449551902249
0.8,0.1,1.94,-13.0968255937123
0.8,0.1,1.95,-13.1333866844575
0.8,0.1,1.96,-13.155186310473
0.8,0.1,1.97,-13.1628838091367
0.8,0.1,1.98,-13.1572242711648
0.8,0.1,1.99,-13.1390127124548
0.8,0.1,2,-13.1090895696926
0.8,0.1,2.01,-13.0683086440595
0.8,0.1,2.02,-13.0175182761859
0.8,0.1,2.03,-12.957546189502
0.8,0.1,2.04,-12.8891881231732
0.8,0.1,2.05,-12.8132001124742
0.8,0.1,2.06,-12.7302940745122
0.8,0.1,2.07,-12.6411362220058
0.8,0.1,2.08,-12.5463477522271
0.8,0.1,2.09,-12.4465072335268
0.8,0.1,2.1,-12.3421541280253
0.8,0.1,2.11,-12.2337929360843
0.8,0.1,2.12,-12.1218975169377
0.8,0.1,2.13,-12.0069152222765
0.8,0.1,2.14,-11.8892705686234
0.8,0.1,2.15,-11.7693682639259
0.8,0.1,2.16,-11.6475954887308
0.8,0.1,2.17,-11.5243234082874
0.8,0.1,2.18,-11.3999079556535
0.8,0.1,2.19,-11.2746899751666
0.8,0.1,2.2,-11.1489948495098
0.8,0.1,2.21,-11.0231317522518
0.8,0.1,2.22,-10.8973926724749
0.8,0.1,2.23,-10.7720513510743
0.8,0.1,2.24,-10.6473622522384
0.8,0.1,2.25,-10.523559671472
0.8,0.1,2.26,-10.4008570561974
0.8,0.1,2.27,-10.2794465890448
0.8,0.1,2.28,-10.1594990595083
0.8,0.1,2.29,-10.0411640282012
0.8,0.1,2.3,-9.92457027042025
0.8,0.1,2.31,-9.8098264725046
0.8,0.1,2.32,-9.69702214550478
0.8,0.1,2.33,-9.58622871560031
0.8,0.1,2.34,-9.47750074894127
0.8,0.1,2.35,-9.37087726947696
0.8,0.1,2.36,-9.2663831311824
0.8,0.1,2.37,-9.16403041025906
0.8,0.1,2.38,-9.06381978780932
0.8,0.1,2.39,-8.96574189870409
0.8,0.1,2.4,-8.86977862752891
0.8,0.1,2.41,-8.77590433735057
0.8,0.1,2.42,-8.68408702143174
0.8,0.1,2.43,-8.59428937184257
0.8,0.1,2.44,-8.50646976214211
0.8,0.1,2.45,-8.42058314393618
0.8,0.1,2.46,-8.33658185919835
0.8,0.1,2.47,-8.25441637182125
0.8,0.1,2.48,-8.17403592300962
0.8,0.1,2.49,-8.09538911590063
0.8,0.1,2.5,-8.0184244352653
0.8,0.1,2.51,-7.94309070836724
0.8,0.1,2.52,-7.86933751308484
0.8,0.1,2.53,-7.79711553928673
0.8,0.1,2.54,-7.72637690922738
0.8,0.1,2.55,-7.65707546243192
0.8,0.1,2.56,-7.58916701019279
0.8,0.1,2.57,-7.52260956442595
0.8,0.1,2.58,-7.4573635452465
0.8,0.1,2.59,-7.39339197123348
0.8,0.1,2.6,-7.33066063596972
0.8,0.1,2.61,-7.26913827406917
0.8,0.1,2.62,-7.20879671954421
0.8,0.1,2.63,-7.14961105901882
0.8,0.1,2.64,-7.09155978196119
0.8,0.1,2.65,-7.03462492978728
0.8,0.1,2.66,-6.97879224537373
0.8,0.1,2.67,-6.92405132421069
0.8,0.1,2.68,-6.87039576811802
0.8,0.1,2.69,-6.81782334213823
0.8,0.1,2.7,-6.76633613490172
0.8,0.1,2.71,-6.71594072242978
0.8,0.1,2.72,-6.66664833499369
0.8,0.1,2.73,-6.61847502628022
0.8,0.1,2.74,-6.57144184372002
0.8,0.1,2.75,-6.52557499841311
0.8,0.1,2.76,-6.48090603263118
0.8,0.1,2.77,-6.43747198238922
0.8,0.1,2.78,-6.3953155320568
0.8,0.1,2.79,-6.3544851574249
0.8,0.1,2.8,-6.31503525306004
0.8,0.1,2.81,-6.27702623916922
0.8,0.1,2.82,-6.24052464257601
0.8,0.1,2.83,-6.20560314578192
0.8,0.1,2.84,-6.17234059747506
0.8,0.1,2.85,-6.14082197726907
0.8,0.1,2.86,-6.11113830693763
0.8,0.1,2.87,-6.08338649998094
0.8,0.1,2.88,-6.0576691410591
0.8,0.1,2.89,-6.03409418669061
0.8,0.1,2.9,-6.01277457868842
0.8,0.1,2.91,-5.99382776213675
0.8,0.1,2.92,-5.97737510034621
0.8,0.1,2.93,-5.96354118020962
0.8,0.1,2.94,-5.95245300275645
0.8,0.1,2.95,-5.94423905550202
0.8,0.1,2.96,-5.93902826543039
0.8,0.1,2.97,-5.9369488341368
0.8,0.1,2.98,-5.93812695977079
0.8,0.1,2.99,-5.94268545391687
0.8,0.1,3,-5.95074226535338
1.2,0.1,1,-5.05450173497741
1.2,0.1,1.01,-5.37703165492968
1.2,0.1,1.02,-5.72777125783074
1.2,0.1,1.03,-6.10815045880426
1.2,0.1,1.04,-6.51950854833436
1.2,0.1,1.05,-6.96304480496216
1.2,0.1,1.06,-7.43974760491173
1.2,0.1,1.07,-7.95028993753797
1.2,0.1,1.08,-8.49487312804212
1.2,0.1,1.09,-9.07299217473124
1.2,0.1,1.1,-9.68308543109456
