"port_gap [cm]","torus_rad [cm]","wire_rad [cm]","Freq [GHz]","dB(St11) []"
0.03,2.15,0.1,1.5,-0.28116273838487
0.03,2.15,0.1,1.503,-0.283671605827221
0.03,2.15,0.1,1.506,-0.286210940761455
0.03,2.15,0.1,1.509,-0.288781109667134
0.03,2.15,0.1,1.512,-0.291382484874557
0.03,2.15,0.1,1.515,-0.294015444651958
0.03,2.15,0.1,1.518,-0.296680373294163
0.03,2.15,0.1,1.521,-0.299377661212666
0.03,2.15,0.1,1.524,-0.302107705027209
0.03,2.15,0.1,1.527,-0.304870907658824
0.03,2.15,0.1,1.53,-0.307667678424404
0.03,2.15,0.1,1.533,-0.310498433132787
0.03,2.15,0.1,1.536,-0.313363594182413
0.03,2.15,0.1,1.539,-0.316263590660528
0.03,2.15,0.1,1.542,-0.319198858444
0.03,2.15,0.1,1.545,-0.322169840301731
0.03,2.15,0.1,1.548,-0.325176985998714
0.03,2.15,0.1,1.551,-0.32822075240173
0.03,2.15,0.1,1.554,-0.331301603586738
0.03,2.15,0.1,1.557,-0.334420010947939
0.03,2.15,0.1,1.56,-0.337576453308566
0.03,2.15,0.1,1.563,-0.340771417033417
0.03,2.15,0.1,1.566,-0.344005396143126
0.03,2.15,0.1,1.569,-0.347278892430231
0.03,2.15,0.1,1.572,-0.35059241557703
0.03,2.15,0.1,1.575,-0.353946483275253
0.03,2.15,0.1,1.578,-0.357341621347583
0.03,2.15,0.1,1.581,-0.360778363871025
0.03,2.15,0.1,1.584,-0.36425725330217
0.03,2.15,0.1,1.587,-0.367778840604339
0.03,2.15,0.1,1.59,-0.371343685376661
0.03,2.15,0.1,1.593,-0.374952355985082
0.03,2.15,0.1,1.596,-0.378605429695342
0.03,2.15,0.1,1.599,-0.38230349280791
0.03,2.15,0.1,1.602,-0.386047140794937
0.03,2.15,0.1,1.605,-0.389836978439207
0.03,2.15,0.1,1.608,-0.393673619975121
0.03,2.15,0.1,1.611,-0.397557689231743
0.03,2.15,0.1,1.614,-0.401489819777893
0.03,2.15,0.1,1.617,-0.405470655069339
0.03,2.15,0.1,1.62,-0.409500848598076
0.03,2.15,0.1,1.623,-0.413581064043722
0.03,2.15,0.1,1.626,-0.417711975427043
0.03,2.15,0.1,1.629,-0.421894267265625
0.03,2.15,0.1,1.632,-0.426128634731678
0.03,2.15,0.1,1.635,-0.430415783812046
0.03,2.15,0.1,1.638,-0.434756431470349
0.03,2.15,0.1,1.641,-0.43915130581136
0.03,2.15,0.1,1.644,-0.443601146247533
0.03,2.15,0.1,1.647,-0.448106703667786
0.03,2.15,0.1,1.65,-0.452668740608442
0.03,2.15,0.1,1.653,-0.457288031426454
0.03,2.15,0.1,1.656,-0.46196536247478
0.03,2.15,0.1,1.659,-0.46670153228005
0.03,2.15,0.1,1.662,-0.471497351722421
0.03,2.15,0.1,1.665,-0.476353644217671
0.03,2.15,0.1,1.668,-0.481271245901521
0.03,2.15,0.1,1.671,-0.48625100581618
0.03,2.15,0.1,1.674,-0.491293786099091
0.03,2.15,0.1,1.677,-0.496400462173925
0.03,2.15,0.1,1.68,-0.50157192294372
0.03,2.15,0.1,1.683,-0.50680907098626
0.03,2.15,0.1,1.686,-0.512112822751597
0.03,2.15,0.1,1.689,-0.517484108761737
0.03,2.15,0.1,1.692,-0.522923873812469
0.03,2.15,0.1,1.695,-0.528433077177309
0.03,2.15,0.1,1.698,-0.534012692813518
0.03,2.15,0.1,1.701,-0.539663709570219
0.03,2.15,0.1,1.704,-0.545387131398501
0.03,2.15,0.1,1.707,-0.551183977563555
0.03,2.15,0.1,1.71,-0.557055282858753
0.03,2.15,0.1,1.713,-0.563002097821634
0.03,2.15,0.1,1.716,-0.569025488951788
0.03,2.15,0.1,1.719,-0.575126538930526
0.03,2.15,0.1,1.722,-0.581306346842338
0.03,2.15,0.1,1.725,-0.587566028398051
0.03,2.15,0.1,1.728,-0.593906716159625
0.03,2.15,0.1,1.731,-0.60032955976652
0.03,2.15,0.1,1.734,-0.606835726163574
0.03,2.15,0.1,1.737,-0.613426399830283
0.03,2.15,0.1,1.74,-0.620102783011426
0.03,2.15,0.1,1.743,-0.626866095948918
0.03,2.15,0.1,1.746,-0.63371757711483
0.03,2.15,0.1,1.749,-0.640658483445407
0.03,2.15,0.1,1.752,-0.647690090576048
0.03,2.15,0.1,1.755,-0.654813693077083
0.03,2.15,0.1,1.758,-0.662030604690216
0.03,2.15,0.1,1.761,-0.669342158565532
0.03,2.15,0.1,1.764,-0.676749707498881
0.03,2.15,0.1,1.767,-0.68425462416955
0.03,2.15,0.1,1.77,-0.69185830137799
0.03,2.15,0.1,1.773,-0.699562152283477
0.03,2.15,0.1,1.776,-0.707367610641505
0.03,2.15,0.1,1.779,-0.715276131040741
0.03,2.15,0.1,1.782,-0.723289189139303
0.03,2.15,0.1,1.785,-0.731408281900195
0.03,2.15,0.1,1.788,-0.739634927825637
0.03,2.15,0.1,1.791,-0.74797066719007
0.03,2.15,0.1,1.794,-0.756417062271598
0.03,2.15,0.1,1.797,-0.764975697581553
0.03,2.15,0.1,1.8,-0.773648180091996
0.03,2.15,0.1,1.803,-0.782436139460761
0.03,2.15,0.1,1.806,-0.791341228253831
0.03,2.15,0.1,1.809,-0.80036512216463
0.03,2.15,0.1,1.812,-0.809509520229983
0.03,2.15,0.1,1.815,-0.818776145042338
0.03,2.15,0.1,1.818,-0.828166742957871
0.03,2.15,0.1,1.821,-0.837683084300112
0.03,2.15,0.1,1.824,-0.847326963558682
0.03,2.15,0.1,1.827,-0.857100199582677
0.03,2.15,0.1,1.83,-0.867004635768289
0.03,2.15,0.1,1.833,-0.877042140240165
0.03,2.15,0.1,1.836,-0.887214606026033
0.03,2.15,0.1,1.839,-0.897523951224051
0.03,2.15,0.1,1.842,-0.907972119162375
0.03,2.15,0.1,1.845,-0.91856107855033
0.03,2.15,0.1,1.848,-0.929292823620669
0.03,2.15,0.1,1.851,-0.940169374262204
0.03,2.15,0.1,1.854,-0.951192776142266
0.03,2.15,0.1,1.857,-0.962365100818248
0.03,2.15,0.1,1.86,-0.973688445837548
0.03,2.15,0.1,1.863,-0.985164934825203
0.03,2.15,0.1,1.866,-0.996796717558418
0.03,2.15,0.1,1.869,-1.0085859700272
0.03,2.15,0.1,1.872,-1.02053489448026
0.03,2.15,0.1,1.875,-1.03264571945538
0.03,2.15,0.1,1.878,-1.04492069979318
0.03,2.15,0.1,1.881,-1.05736211663356
0.03,2.15,0.1,1.884,-1.06997227739365
0.03,2.15,0.1,1.887,-1.08275351572637
0.03,2.15,0.1,1.89,-1.09570819145845
0.03,2.15,0.1,1.893,-1.10883869050694
0.03,2.15,0.1,1.896,-1.12214742477283
0.03,2.15,0.1,1.899,-1.13563683201088
0.03,2.15,0.1,1.902,-1.14930937567414
0.03,2.15,0.1,1.905,-1.16316754473213
0.03,2.15,0.1,1.908,-1.17721385346109
0.03,2.15,0.1,1.911,-1.19145084120515
0.03,2.15,0.1,1.914,-1.20588107210677
0.03,2.15,0.1,1.917,-1.2205071348051
0.03,2.15,0.1,1.92,-1.23533164210068
0.03,2.15,0.1,1.923,-1.2503572305848
0.03,2.15,0.1,1.926,-1.26558656023196
0.03,2.15,0.1,1.929,-1.2810223139536
0.03,2.15,0.1,1.932,-1.29666719711142
0.03,2.15,0.1,1.935,-1.31252393698834
0.03,2.15,0.1,1.938,-1.32859528221525
0.03,2.15,0.1,1.941,-1.34488400215159
0.03,2.15,0.1,1.944,-1.36139288621753
0.03,2.15,0.1,1.947,-1.37812474317599
0.03,2.15,0.1,1.95,-1.3950824003619
0.03,2.15,0.1,1.953,-1.41226870285673
0.03,2.15,0.1,1.956,-1.42968651260587
0.03,2.15,0.1,1.959,-1.44733870747641
0.03,2.15,0.1,1.962,-1.46522818025286
0.03,2.15,0.1,1.965,-1.48335783756837
0.03,2.15,0.1,1.968,-1.50173059876852
0.03,2.15,0.1,1.971,-1.52034939470532
0.03,2.15,0.1,1.974,-1.53921716645836
0.03,2.15,0.1,1.977,-1.55833686398031
0.03,2.15,0.1,1.98,-1.57771144466387
0.03,2.15,0.1,1.983,-1.59734387182703
0.03,2.15,0.1,1.986,-1.61723711311358
0.03,2.15,0.1,1.989,-1.63739413880561
0.03,2.15,0.1,1.992,-1.65781792004471
0.03,2.15,0.1,1.995,-1.67851142695863
0.03,2.15,0.1,1.998,-1.69947762668963
0.03,2.15,0.1,2.001,-1.72071948132132
0.03,2.15,0.1,2.004,-1.74223994570015
0.03,2.15,0.1,2.007,-1.76404196514789
0.03,2.15,0.1,2.01,-1.78612847306132
0.03,2.15,0.1,2.013,-1.80850238839528
0.03,2.15,0.1,2.016,-1.83116661302508
0.03,2.15,0.1,2.019,-1.85412402898433
0.03,2.15,0.1,2.022,-1.87737749557403
0.03,2.15,0.1,2.025,-1.90092984633877
0.03,2.15,0.1,2.028,-1.92478388590584
0.03,2.15,0.1,2.031,-1.94894238668298
0.03,2.15,0.1,2.034,-1.97340808541039
0.03,2.15,0.1,2.037,-1.99818367956256
0.03,2.15,0.1,2.04,-2.02327182359563
0.03,2.15,0.1,2.043,-2.0486751250357
0.03,2.15,0.1,2.046,-2.0743961404035
0.03,2.15,0.1,2.049,-2.10043737097118
0.03,2.15,0.1,2.052,-2.1268012583463
0.03,2.15,0.1,2.055,-2.15349017987879
0.03,2.15,0.1,2.058,-2.1805064438862
0.03,2.15,0.1,2.061,-2.20785228469275
0.03,2.15,0.1,2.064,-2.23552985747768
0.03,2.15,0.1,2.067,-2.26354123292853
0.03,2.15,0.1,2.07,-2.29188839169492
0.03,2.15,0.1,2.073,-2.32057321863863
0.03,2.15,0.1,2.076,-2.34959749687568
0.03,2.15,0.1,2.079,-2.37896290160648
0.03,2.15,0.1,2.082,-2.40867099373006
0.03,2.15,0.1,2.085,-2.43872321323875
0.03,2.15,0.1,2.088,-2.46912087238949
0.03,2.15,0.1,2.091,-2.4998651486489
0.03,2.15,0.1,2.094,-2.53095707740858
0.03,2.15,0.1,2.097,-2.56239754446823
0.03,2.15,0.1,2.1,-2.59418727828393
0.03,2.15,0.1,2.103,-2.62632684197953
0.03,2.15,0.1,2.106,-2.65881662511959
0.03,2.15,0.1,2.109,-2.69165683524247
0.03,2.15,0.1,2.112,-2.72484748915291
0.03,2.15,0.1,2.115,-2.75838840397393
0.03,2.15,0.1,2.118,-2.79227918795838
0.03,2.15,0.1,2.121,-2.82651923106128
0.03,2.15,0.1,2.124,-2.86110769527462
0.03,2.15,0.1,2.127,-2.89604350472725
0.03,2.15,0.1,2.13,-2.93132533555328
0.03,2.15,0.1,2.133,-2.96695160553314
0.03,2.15,0.1,2.136,-3.0029204635128
0.03,2.15,0.1,2.139,-3.03922977860742
0.03,2.15,0.1,2.142,-3.07587712919703
0.03,2.15,0.1,2.145,-3.11285979172286
0.03,2.15,0.1,2.148,-3.15017472929466
0.03,2.15,0.1,2.151,-3.1878185801204
0.03,2.15,0.1,2.154,-3.22578764577144
0.03,2.15,0.1,2.157,-3.26407787929791
0.03,2.15,0.1,2.16,-3.30268487321067
0.03,2.15,0.1,2.163,-3.34160384734824
0.03,2.15,0.1,2.166,-3.38082963664883
0.03,2.15,0.1,2.169,-3.42035667884988
0.03,2.15,0.1,2.172,-3.46017900213951
0.03,2.15,0.1,2.175,-3.50029021278681
0.03,2.15,0.1,2.178,-3.54068348278007
0.03,2.15,0.1,2.181,-3.58135153750483
0.03,2.15,0.1,2.184,-3.62228664349608
0.03,2.15,0.1,2.187,-3.66348059630188
0.03,2.15,0.1,2.19,-3.70492470849837
0.03,2.15,0.1,2.193,-3.74660979789926
0.03,2.15,0.1,2.196,-3.78852617600593
0.03,2.15,0.1,2.199,-3.83066363674735
0.03,2.15,0.1,2.202,-3.87301144556238
0.03,2.15,0.1,2.205,-3.91555832888016
0.03,2.15,0.1,2.208,-3.95829246405791
0.03,2.15,0.1,2.211,-4.00120146983842
0.03,2.15,0.1,2.214,-4.04427239739339
0.03,2.15,0.1,2.217,-4.08749172202173
0.03,2.15,0.1,2.22,-4.13084533557546
0.03,2.15,0.1,2.223,-4.17431853968907
0.03,2.15,0.1,2.226,-4.21789603989147
0.03,2.15,0.1,2.229,-4.2615619406823
0.03,2.15,0.1,2.232,-4.3052997416577
0.03,2.15,0.1,2.235,-4.34909233477285
0.03,2.15,0.1,2.238,-4.39292200283112
0.03,2.15,0.1,2.241,-4.43677041929151
0.03,2.15,0.1,2.244,-4.48061864948799
0.03,2.15,0.1,2.247,-4.52444715335507
0.03,2.15,0.1,2.25,-4.56823578975505
0.03,2.15,0.1,2.253,-4.6119638225023
0.03,2.15,0.1,2.256,-4.65560992817944
0.03,2.15,0.1,2.259,-4.69915220583928
0.03,2.15,0.1,2.262,-4.74256818868397
0.03,2.15,0.1,2.265,-4.78583485781072
0.03,2.15,0.1,2.268,-4.82892865810922
0.03,2.15,0.1,2.271,-4.87182551639139
0.03,2.15,0.1,2.274,-4.91450086182876
0.03,2.15,0.1,2.277,-4.95692964876564
0.03,2.15,0.1,2.28,-4.99908638196883
0.03,2.15,0.1,2.283,-5.04094514436526
0.03,2.15,0.1,2.286,-5.0824796273093
0.03,2.15,0.1,2.289,-5.12366316340937
0.03,2.15,0.1,2.292,-5.16446876193189
0.03,2.15,0.1,2.295,-5.20486914678587
0.03,2.15,0.1,2.298,-5.24483679707706
0.03,2.15,0.1,2.301,-5.28434399020442
0.03,2.15,0.1,2.304,-5.32336284745435
0.03,2.15,0.1,2.307,-5.36186538202989
0.03,2.15,0.1,2.31,-5.39982354943348
0.03,2.15,0.1,2.313,-5.43720930010153
0.03,2.15,0.1,2.316,-5.47399463416899
0.03,2.15,0.1,2.319,-5.51015165822098
0.03,2.15,0.1,2.322,-5.54565264386779
0.03,2.15,0.1,2.325,-5.58047008795794
0.03,2.15,0.1,2.328,-5.61457677422345
0.03,2.15,0.1,2.331,-5.64794583613068
0.03,2.15,0.1,2.334,-5.68055082069052
0.03,2.15,0.1,2.337,-5.71236575296271
0.03,2.15,0.1,2.34,-5.74336520097176
0.03,2.15,0.1,2.343,-5.77352434073567
0.03,2.15,0.1,2.346,-5.80281902109483
0.03,2.15,0.1,2.349,-5.83122582801627
0.03,2.15,0.1,2.352,-5.85872214803863
0.03,2.15,0.1,2.355,-5.88528623051669
0.03,2.15,0.1,2.358,-5.91089724831937
0.03,2.15,0.1,2.361,-5.93553535663472
0.03,2.15,0.1,2.364,-5.95918174953675
0.03,2.15,0.1,2.367,-5.98181871397471
0.03,2.15,0.1,2.37,-6.00342968085387
0.03,2.15,0.1,2.373,-6.0239992728889
0.03,2.15,0.1,2.376,-6.04351334892661
0.03,2.15,0.1,2.379,-6.06195904445297
0.03,2.15,0.1,2.382,-6.07932480802182
0.03,2.15,0.1,2.385,-6.09560043336686
0.03,2.15,0.1,2.388,-6.1107770869863
0.03,2.15,0.1,2.391,-6.12484733101962
0.03,2.15,0.1,2.394,-6.13780514126753
0.03,2.15,0.1,2.397,-6.14964592024033
0.03,2.15,0.1,2.4,-6.16036650515511
0.03,2.15,0.1,2.403,-6.16996517083779
0.03,2.15,0.1,2.406,-6.17844162752334
0.03,2.15,0.1,2.409,-6.18579701358342
0.03,2.15,0.1,2.412,-6.19203388324731
0.03,2.15,0.1,2.415,-6.19715618941746
0.03,2.15,0.1,2.418,-6.20116926171467
0.03,2.15,0.1,2.421,-6.20407977992093
0.03,2.15,0.1,2.424,-6.20589574301797
0.03,2.15,0.1,2.427,-6.20662643404778
0.03,2.15,0.1,2.43,-6.20628238104683
0.03,2.15,0.1,2.433,-6.20487531432816
0.03,2.15,0.1,2.436,-6.2024181204048
0.03,2.15,0.1,2.439,-6.19892479286441
0.03,2.15,0.1,2.442,-6.19441038051775
0.03,2.15,0.1,2.445,-6.18889093315284
0.03,2.15,0.1,2.448,-6.18238344523328
0.03,2.15,0.1,2.451,-6.17490579788138
0.03,2.15,0.1,2.454,-6.16647669948712
0.03,2.15,0.1,2.457,-6.15711562527981
0.03,2.15,0.1,2.46,-6.14684275619355
0.03,2.15,0.1,2.463,-6.13567891734851
0.03,2.15,0.1,2.466,-6.12364551645862
0.03,2.15,0.1,2.469,-6.11076448246298
0.03,2.15,0.1,2.472,-6.09705820466267
0.03,2.15,0.1,2.475,-6.08254947262802
0.03,2.15,0.1,2.478,-6.06726141712271
0.03,2.15,0.1,2.481,-6.05121745227218
0.03,2.15,0.1,2.484,-6.03444121918344
0.03,2.15,0.1,2.487,-6.01695653120303
0.03,2.15,0.1,2.49,-5.99878732097885
0.03,2.15,0.1,2.493,-5.97995758947112
0.03,2.15,0.1,2.496,-5.96049135703676
0.03,2.15,0.1,2.499,-5.94041261669155
0.03,2.15,0.1,2.502,-5.91974528963482
0.03,2.15,0.1,2.505,-5.89851318310242
0.03,2.15,0.1,2.508,-5.87673995059576
0.03,2.15,0.1,2.511,-5.85444905451784
0.03,2.15,0.1,2.514,-5.83166373123099
0.03,2.15,0.1,2.517,-5.80840695853626
0.03,2.15,0.1,2.52,-5.78470142556087
0.03,2.15,0.1,2.523,-5.76056950502732
0.03,2.15,0.1,2.526,-5.7360332278667
0.03,2.15,0.1,2.529,-5.71111426012863
0.03,2.15,0.1,2.532,-5.68583388213116
0.03,2.15,0.1,2.535,-5.66021296978645
0.03,2.15,0.1,2.538,-5.63427197803112
0.03,2.15,0.1,2.541,-5.6080309262848
0.03,2.15,0.1,2.544,-5.5815093858556
0.03,2.15,0.1,2.547,-5.55472646920791
0.03,2.15,0.1,2.55,-5.52770082100472
0.03,2.15,0.1,2.553,-5.50045061083523
0.03,2.15,0.1,2.556,-5.47299352753704
0.03,2.15,0.1,2.559,-5.4453467750217
0.03,2.15,0.1,2.562,-5.41752706951282
0.03,2.15,0.1,2.565,-5.38955063810647
0.03,2.15,0.1,2.568,-5.36143321856463
0.03,2.15,0.1,2.571,-5.3331900602545
0.03,2.15,0.1,2.574,-5.30483592614803
0.03,2.15,0.1,2.577,-5.27638509579873
0.03,2.15,0.1,2.58,-5.24785136921523
0.03,2.15,0.1,2.583,-5.21924807155376
0.03,2.15,0.1,2.586,-5.19058805855513
0.03,2.15,0.1,2.589,-5.16188372265441
0.03,2.15,0.1,2.592,-5.13314699969516
0.03,2.15,0.1,2.595,-5.10438937618304
0.03,2.15,0.1,2.598,-5.07562189701722
0.03,2.15,0.1,2.601,-5.04685517364119
0.03,2.15,0.1,2.604,-5.01809939255793
0.03,2.15,0.1,2.607,-4.9893643241577
0.03,2.15,0.1,2.61,-4.96065933180997
0.03,2.15,0.1,2.613,-4.93199338117411
0.03,2.15,0.1,2.616,-4.90337504968666
0.03,2.15,0.1,2.619,-4.87481253618581
0.03,2.15,0.1,2.622,-4.8463136706368
0.03,2.15,0.1,2.625,-4.81788592392468
0.03,2.15,0.1,2.628,-4.78953641768337
0.03,2.15,0.1,2.631,-4.76127193413283
0.03,2.15,0.1,2.634,-4.73309892589829
0.03,2.15,0.1,2.637,-4.70502352578796
0.03,2.15,0.1,2.64,-4.67705155650779
0.03,2.15,0.1,2.643,-4.64918854029395
0.03,2.15,0.1,2.646,-4.62143970844561
0.03,2.15,0.1,2.649,-4.59381001074243
0.03,2.15,0.1,2.652,-4.56630412473299
0.03,2.15,0.1,2.655,-4.5389264648819
0.03,2.15,0.1,2.658,-4.51168119156485
0.03,2.15,0.1,2.661,-4.48457221990235
0.03,2.15,0.1,2.664,-4.4576032284241
0.03,2.15,0.1,2.667,-4.43077766755721
0.03,2.15,0.1,2.67,-4.4040987679326
0.03,2.15,0.1,2.673,-4.37756954850488
0.03,2.15,0.1,2.676,-4.35119282448208
0.03,2.15,0.1,2.679,-4.32497121506238
0.03,2.15,0.1,2.682,-4.29890715097573
0.03,2.15,0.1,2.685,-4.2730028818292
0.03,2.15,0.1,2.688,-4.24726048325522
0.03,2.15,0.1,2.691,-4.22168186386296
0.03,2.15,0.1,2.694,-4.19626877199292
0.03,2.15,0.1,2.697,-4.17102280227624
0.03,2.15,0.1,2.7,-4.14594540199967
0.03,2.15,0.1,2.703,-4.12103787727835
0.03,2.15,0.1,2.706,-4.09630139903845
0.03,2.15,0.1,2.709,-4.07173700881208
0.03,2.15,0.1,2.712,-4.04734562434736
0.03,2.15,0.1,2.715,-4.02312804503653
0.03,2.15,0.1,2.718,-3.99908495716532
0.03,2.15,0.1,2.721,-3.97521693898686
0.03,2.15,0.1,2.724,-3.95152446562387
0.03,2.15,0.1,2.727,-3.92800791380242
0.03,2.15,0.1,2.73,-3.90466756642127
0.03,2.15,0.1,2.733,-3.8815036169605
0.03,2.15,0.1,2.736,-3.85851617373319
0.03,2.15,0.1,2.739,-3.83570526398433
0.03,2.15,0.1,2.742,-3.81307083784058
0.03,2.15,0.1,2.745,-3.79061277211505
0.03,2.15,0.1,2.748,-3.76833087397101
0.03,2.15,0.1,2.751,-3.74622488444842
0.03,2.15,0.1,2.754,-3.72429448185721
0.03,2.15,0.1,2.757,-3.70253928504133
0.03,2.15,0.1,2.76,-3.68095885651718
0.03,2.15,0.1,2.763,-3.65955270549042
0.03,2.15,0.1,2.766,-3.63832029075497
0.03,2.15,0.1,2.769,-3.61726102347762
0.03,2.15,0.1,2.772,-3.59637426987223
0.03,2.15,0.1,2.775,-3.57565935376682
0.03,2.15,0.1,2.778,-3.55511555906724
0.03,2.15,0.1,2.781,-3.53474213212076
0.03,2.15,0.1,2.784,-3.51453828398297
0.03,2.15,0.1,2.787,-3.49450319259129
0.03,2.15,0.1,2.79,-3.47463600484824
0.03,2.15,0.1,2.793,-3.45493583861768
0.03,2.15,0.1,2.796,-3.43540178463702
0.03,2.15,0.1,2.799,-3.41603290834837
0.03,2.15,0.1,2.802,-3.39682825165158
0.03,2.15,0.1,2.805,-3.37778683458185
0.03,2.15,0.1,2.808,-3.35890765691482
0.03,2.15,0.1,2.811,-3.34018969970164
0.03,2.15,0.1,2.814,-3.32163192673671
0.03,2.15,0.1,2.817,-3.3032332859605
0.03,2.15,0.1,2.82,-3.28499271079995
0.03,2.15,0.1,2.823,-3.2669091214487
0.03,2.15,0.1,2.826,-3.24898142608957
0.03,2.15,0.1,2.829,-3.23120852206133
0.03,2.15,0.1,2.832,-3.21358929697202
0.03,2.15,0.1,2.835,-3.19612262976081
0.03,2.15,0.1,2.838,-3.17880739171039
0.03,2.15,0.1,2.841,-3.16164244741192
0.03,2.15,0.1,2.844,-3.14462665568417
0.03,2.15,0.1,2.847,-3.12775887044897
0.03,2.15,0.1,2.85,-3.11103794156443
0.03,2.15,0.1,2.853,-3.09446271561767
0.03,2.15,0.1,2.856,-3.07803203667888
0.03,2.15,0.1,2.859,-3.06174474701789
0.03,2.15,0.1,2.862,-3.04559968778514
0.03,2.15,0.1,2.865,-3.02959569965821
0.03,2.15,0.1,2.868,-3.01373162345555
0.03,2.15,0.1,2.871,-2.99800630071844
0.03,2.15,0.1,2.874,-2.98241857426289
0.03,2.15,0.1,2.877,-2.96696728870236
0.03,2.15,0.1,2.88,-2.95165129094265
0.03,2.15,0.1,2.883,-2.93646943065024
0.03,2.15,0.1,2.886,-2.92142056069494
0.03,2.15,0.1,2.889,-2.90650353756812
0.03,2.15,0.1,2.892,-2.89171722177749
0.03,2.15,0.1,2.895,-2.87706047821946
0.03,2.15,0.1,2.898,-2.86253217652987
0.03,2.15,0.1,2.901,-2.84813119141432
0.03,2.15,0.1,2.904,-2.83385640295864
0.03,2.15,0.1,2.907,-2.81970669692062
0.03,2.15,0.1,2.91,-2.80568096500367
0.03,2.15,0.1,2.913,-2.7917781051132
0.03,2.15,0.1,2.916,-2.77799702159661
0.03,2.15,0.1,2.919,-2.76433662546734
0.03,2.15,0.1,2.922,-2.75079583461406
0.03,2.15,0.1,2.925,-2.73737357399527
0.03,2.15,0.1,2.928,-2.72406877582027
0.03,2.15,0.1,2.931,-2.71088037971688
0.03,2.15,0.1,2.934,-2.6978073328867
0.03,2.15,0.1,2.937,-2.68484859024835
0.03,2.15,0.1,2.94,-2.67200311456923
0.03,2.15,0.1,2.943,-2.65926987658641
0.03,2.15,0.1,2.946,-2.64664785511716
0.03,2.15,0.1,2.949,-2.63413603715938
0.03,2.15,0.1,2.952,-2.62173341798276
0.03,2.15,0.1,2.955,-2.6094390012108
0.03,2.15,0.1,2.958,-2.59725179889423
0.03,2.15,0.1,2.961,-2.58517083157631
0.03,2.15,0.1,2.964,-2.57319512835025
0.03,2.15,0.1,2.967,-2.56132372690926
0.03,2.15,0.1,2.97,-2.54955567358952
0.03,2.15,0.1,2.973,-2.53789002340644
0.03,2.15,0.1,2.976,-2.52632584008448
0.03,2.15,0.1,2.979,-2.51486219608099
0.03,2.15,0.1,2.982,-2.5034981726042
0.03,2.15,0.1,2.985,-2.49223285962576
0.03,2.15,0.1,2.988,-2.48106535588813
0.03,2.15,0.1,2.991,-2.46999476890691
0.03,2.15,0.1,2.994,-2.45902021496865
0.03,2.15,0.1,2.997,-2.44814081912414
0.03,2.15,0.1,3,-2.43735571517748
0.04,2.15,0.1,1.5,-0.29042714344564
0.04,2.15,0.1,1.503,-0.29304923173078
0.04,2.15,0.1,1.506,-0.295702937415834
0.04,2.15,0.1,1.509,-0.298388659011099
0.04,2.15,0.1,1.512,-0.301106801149226
0.04,2.15,0.1,1.515,-0.303857774679011
0.04,2.15,0.1,1.518,-0.306641996760676
0.04,2.15,0.1,1.521,-0.309459890962713
0.04,2.15,0.1,1.524,-0.312311887360258
0.04,2.15,0.1,1.527,-0.315198422635046
0.04,2.15,0.1,1.53,-0.318119940176988
0.04,2.15,0.1,1.533,-0.321076890187327
0.04,2.15,0.1,1.536,-0.324069729783472
0.04,2.15,0.1,1.539,-0.327098923105476
0.04,2.15,0.1,1.542,-0.330164941424197
0.04,2.15,0.1,1.545,-0.333268263251168
0.04,2.15,0.1,1.548,-0.336409374450188
0.04,2.15,0.1,1.551,-0.339588768350684
0.04,2.15,0.1,1.554,-0.342806945862805
0.04,2.15,0.1,1.557,-0.34606441559433
0.04,2.15,0.1,1.56,-0.349361693969407
0.04,2.15,0.1,1.563,-0.352699305349073
0.04,2.15,0.1,1.566,-0.356077782153701
0.04,2.15,0.1,1.569,-0.359497664987249
0.04,2.15,0.1,1.572,-0.362959502763473
0.04,2.15,0.1,1.575,-0.36646385283401
0.04,2.15,0.1,1.578,-0.370011281118445
0.04,2.15,0.1,1.581,-0.373602362236295
0.04,2.15,0.1,1.584,-0.377237679641009
0.04,2.15,0.1,1.587,-0.380917825755949
0.04,2.15,0.1,1.59,-0.384643402112407
0.04,2.15,0.1,1.593,-0.38841501948965
0.04,2.15,0.1,1.596,-0.392233298057036
0.04,2.15,0.1,1.599,-0.396098867518205
0.04,2.15,0.1,1.602,-0.400012367257363
0.04,2.15,0.1,1.605,-0.403974446487686
0.04,2.15,0.1,1.608,-0.407985764401859
0.04,2.15,0.1,1.611,-0.412046990324762
0.04,2.15,0.1,1.614,-0.416158803868325
0.04,2.15,0.1,1.617,-0.420321895088547
0.04,2.15,0.1,1.62,-0.424536964644739
0.04,2.15,0.1,1.623,-0.428804723960958
0.04,2.15,0.1,1.626,-0.433125895389664
0.04,2.15,0.1,1.629,-0.437501212377632
0.04,2.15,0.1,1.632,-0.441931419634077
0.04,2.15,0.1,1.635,-0.446417273301068
0.04,2.15,0.1,1.638,-0.45095954112619
0.04,2.15,0.1,1.641,-0.45555900263748
0.04,2.15,0.1,1.644,-0.460216449320673
0.04,2.15,0.1,1.647,-0.46493268479867
0.04,2.15,0.1,1.65,-0.469708525013372
0.04,2.15,0.1,1.653,-0.474544798409759
0.04,2.15,0.1,1.656,-0.479442346122262
0.04,2.15,0.1,1.659,-0.484402022163463
0.04,2.15,0.1,1.662,-0.489424693615039
0.04,2.15,0.1,1.665,-0.494511240821033
0.04,2.15,0.1,1.668,-0.499662557583364
